date,country,daily
10/14/20,Australia,0
10/15/20,Australia,0
10/16/20,Australia,0
10/17/20,Australia,0
10/18/20,Australia,1
10/19/20,Australia,0
10/20/20,Australia,0
10/21/20,Australia,0
10/22/20,Australia,0
10/23/20,Australia,0
10/24/20,Australia,0
10/25/20,Australia,0
10/26/20,Australia,0
10/27/20,Australia,2
10/28/20,Australia,0
10/29/20,Australia,0
10/30/20,Australia,0
10/31/20,Australia,0
11/1/20,Australia,0
11/2/20,Australia,0
11/3/20,Australia,0
11/4/20,Australia,0
11/5/20,Australia,0
11/6/20,Australia,0
11/7/20,Australia,0
11/8/20,Australia,0
11/9/20,Australia,0
11/10/20,Australia,0
11/11/20,Australia,0
11/12/20,Australia,0
11/13/20,Australia,0
11/14/20,Australia,0
11/15/20,Australia,0
11/16/20,Australia,0
11/17/20,Australia,0
11/18/20,Australia,0
11/19/20,Australia,0
11/20/20,Australia,0
11/21/20,Australia,0
11/22/20,Australia,0
11/23/20,Australia,0
11/24/20,Australia,0
11/25/20,Australia,0
11/26/20,Australia,0
11/27/20,Australia,0
11/28/20,Australia,0
11/29/20,Australia,1
11/30/20,Australia,0
12/1/20,Australia,0
12/2/20,Australia,0
12/3/20,Australia,0
12/4/20,Australia,0
12/5/20,Australia,0
12/6/20,Australia,0
12/7/20,Australia,0
12/8/20,Australia,0
12/9/20,Australia,0
12/10/20,Australia,0
12/11/20,Australia,0
12/12/20,Australia,0
12/13/20,Australia,0
12/14/20,Australia,0
12/15/20,Australia,0
12/16/20,Australia,0
12/17/20,Australia,0
12/18/20,Australia,0
12/19/20,Australia,0
12/20/20,Australia,0
12/21/20,Australia,0
12/22/20,Australia,0
12/23/20,Australia,0
12/24/20,Australia,0
12/25/20,Australia,0
12/26/20,Australia,0
12/27/20,Australia,1
12/28/20,Australia,0
12/29/20,Australia,0
12/30/20,Australia,0
12/31/20,Australia,0
1/1/21,Australia,0
1/2/21,Australia,0
1/3/21,Australia,0
1/4/21,Australia,0
1/5/21,Australia,0
1/6/21,Australia,0
1/7/21,Australia,0
1/8/21,Australia,0
1/9/21,Australia,0
1/10/21,Australia,0
1/11/21,Australia,0
1/12/21,Australia,0
1/13/21,Australia,0
1/14/21,Australia,0
1/15/21,Australia,0
1/16/21,Australia,0
1/17/21,Australia,0
1/18/21,Australia,0
1/19/21,Australia,0
1/20/21,Australia,0
1/21/21,Australia,0
1/22/21,Australia,0
1/23/21,Australia,0
1/24/21,Australia,0
1/25/21,Australia,0
1/26/21,Australia,0
1/27/21,Australia,0
1/28/21,Australia,0
1/29/21,Australia,0
1/30/21,Australia,0
1/31/21,Australia,0
2/1/21,Australia,0
2/2/21,Australia,0
2/3/21,Australia,0
2/4/21,Australia,0
2/5/21,Australia,0
2/6/21,Australia,0
2/7/21,Australia,0
2/8/21,Australia,0
2/9/21,Australia,0
2/10/21,Australia,0
2/11/21,Australia,0
2/12/21,Australia,0
2/13/21,Australia,0
2/14/21,Australia,0
2/15/21,Australia,0
2/16/21,Australia,0
2/17/21,Australia,0
2/18/21,Australia,0
2/19/21,Australia,0
2/20/21,Australia,0
2/21/21,Australia,0
2/22/21,Australia,0
2/23/21,Australia,0
2/24/21,Australia,0
2/25/21,Australia,0
2/26/21,Australia,0
2/27/21,Australia,0
2/28/21,Australia,0
3/1/21,Australia,0
3/2/21,Australia,0
3/3/21,Australia,0
3/4/21,Australia,0
3/5/21,Australia,0
3/6/21,Australia,0
3/7/21,Australia,0
3/8/21,Australia,0
3/9/21,Australia,0
3/10/21,Australia,0
3/11/21,Australia,0
3/12/21,Australia,0
3/13/21,Australia,0
3/14/21,Australia,0
3/15/21,Australia,0
3/16/21,Australia,0
3/17/21,Australia,0
3/18/21,Australia,0
3/19/21,Australia,0
3/20/21,Australia,0
3/21/21,Australia,0
3/22/21,Australia,0
3/23/21,Australia,0
3/24/21,Australia,0
3/25/21,Australia,0
3/26/21,Australia,0
3/27/21,Australia,0
3/28/21,Australia,0
3/29/21,Australia,0
3/30/21,Australia,0
3/31/21,Australia,0
4/1/21,Australia,0
4/2/21,Australia,0
4/3/21,Australia,0
4/4/21,Australia,0
4/5/21,Australia,0
4/6/21,Australia,0
4/7/21,Australia,0
4/8/21,Australia,0
4/9/21,Australia,0
4/10/21,Australia,0
4/11/21,Australia,0
4/12/21,Australia,1
4/13/21,Australia,0
4/14/21,Australia,0
4/15/21,Australia,0
4/16/21,Australia,0
4/17/21,Australia,0
4/18/21,Australia,0
4/19/21,Australia,0
4/20/21,Australia,0
4/21/21,Australia,0
4/22/21,Australia,0
4/23/21,Australia,0
4/24/21,Australia,0
4/25/21,Australia,0
4/26/21,Australia,0
4/27/21,Australia,0
4/28/21,Australia,0
4/29/21,Australia,0
4/30/21,Australia,0
5/1/21,Australia,0
5/2/21,Australia,0
5/3/21,Australia,0
5/4/21,Australia,0
5/5/21,Australia,0
5/6/21,Australia,0
5/7/21,Australia,0
5/8/21,Australia,0
5/9/21,Australia,0
5/10/21,Australia,0
5/11/21,Australia,0
5/12/21,Australia,0
5/13/21,Australia,0
5/14/21,Australia,0
5/15/21,Australia,0
5/16/21,Australia,0
5/17/21,Australia,0
5/18/21,Australia,0
5/19/21,Australia,0
5/20/21,Australia,0
5/21/21,Australia,0
5/22/21,Australia,0
5/23/21,Australia,0
5/24/21,Australia,0
5/25/21,Australia,0
5/26/21,Australia,0
5/27/21,Australia,0
5/28/21,Australia,0
5/29/21,Australia,0
5/30/21,Australia,0
5/31/21,Australia,0
6/1/21,Australia,0
6/2/21,Australia,0
6/3/21,Australia,0
6/4/21,Australia,0
6/5/21,Australia,0
6/6/21,Australia,0
6/7/21,Australia,0
6/8/21,Australia,0
6/9/21,Australia,0
6/10/21,Australia,0
6/11/21,Australia,0
6/12/21,Australia,0
6/13/21,Australia,0
6/14/21,Australia,0
6/15/21,Australia,0
6/16/21,Australia,0
6/17/21,Australia,0
6/18/21,Australia,0
6/19/21,Australia,0
6/20/21,Australia,0
6/21/21,Australia,0
6/22/21,Australia,0
6/23/21,Australia,0
6/24/21,Australia,0
6/25/21,Australia,0
6/26/21,Australia,0
6/27/21,Australia,0
6/28/21,Australia,0
6/29/21,Australia,0
6/30/21,Australia,0
7/1/21,Australia,0
7/2/21,Australia,0
7/3/21,Australia,0
7/4/21,Australia,0
7/5/21,Australia,0
7/6/21,Australia,0
7/7/21,Australia,0
7/8/21,Australia,0
7/9/21,Australia,0
7/10/21,Australia,1
7/11/21,Australia,0
7/12/21,Australia,1
7/13/21,Australia,0
7/14/21,Australia,0
7/15/21,Australia,0
7/16/21,Australia,1
7/17/21,Australia,1
7/18/21,Australia,0
7/19/21,Australia,1
7/20/21,Australia,0
7/21/21,Australia,0
7/22/21,Australia,1
7/23/21,Australia,0
7/24/21,Australia,2
7/25/21,Australia,0
7/26/21,Australia,4
7/27/21,Australia,-1
7/28/21,Australia,2
7/29/21,Australia,0
7/30/21,Australia,1
7/31/21,Australia,0
8/1/21,Australia,1
8/2/21,Australia,0
8/3/21,Australia,2
8/4/21,Australia,5
8/5/21,Australia,1
8/6/21,Australia,6
8/7/21,Australia,-1
8/8/21,Australia,1
8/9/21,Australia,4
8/10/21,Australia,2
8/11/21,Australia,2
8/12/21,Australia,2
8/13/21,Australia,4
8/14/21,Australia,5
8/15/21,Australia,8
8/16/21,Australia,1
8/17/21,Australia,3
8/18/21,Australia,2
8/19/21,Australia,4
8/20/21,Australia,2
8/21/21,Australia,3
8/22/21,Australia,3
8/23/21,Australia,0
8/24/21,Australia,2
8/25/21,Australia,3
8/26/21,Australia,2
8/27/21,Australia,2
8/28/21,Australia,6
8/29/21,Australia,4
8/30/21,Australia,3
8/31/21,Australia,6
9/1/21,Australia,7
9/2/21,Australia,13
9/3/21,Australia,4
9/4/21,Australia,3
9/5/21,Australia,5
9/6/21,Australia,8
9/7/21,Australia,8
9/8/21,Australia,6
9/9/21,Australia,10
9/10/21,Australia,8
9/11/21,Australia,7
9/12/21,Australia,7
9/13/21,Australia,4
9/14/21,Australia,14
9/15/21,Australia,12
9/16/21,Australia,13
9/17/21,Australia,7
9/18/21,Australia,14
9/19/21,Australia,5
9/20/21,Australia,11
9/21/21,Australia,8
9/22/21,Australia,10
9/23/21,Australia,12
9/24/21,Australia,12
9/25/21,Australia,11
9/26/21,Australia,14
9/27/21,Australia,11
9/28/21,Australia,23
9/29/21,Australia,12
9/30/21,Australia,20
10/1/21,Australia,10
10/2/21,Australia,13
10/3/21,Australia,12
10/4/21,Australia,11
10/5/21,Australia,22
10/6/21,Australia,10
10/7/21,Australia,16
10/8/21,Australia,16
10/9/21,Australia,11
10/10/21,Australia,16
10/11/21,Australia,13
10/12/21,Australia,17
1/22/20,China,17
1/23/20,China,1
1/24/20,China,8
1/25/20,China,16
1/26/20,China,14
1/27/20,China,26
1/28/20,China,49
1/29/20,China,2
1/30/20,China,38
1/31/20,China,42
2/1/20,China,46
2/2/20,China,102
2/3/20,China,64
2/4/20,China,66
2/5/20,China,72
2/6/20,China,70
2/7/20,China,85
2/8/20,China,87
2/9/20,China,100
2/10/20,China,107
2/11/20,China,100
2/12/20,China,5
2/13/20,China,252
2/14/20,China,152
2/15/20,China,142
2/16/20,China,103
2/17/20,China,98
2/18/20,China,139
2/19/20,China,113
2/20/20,China,122
2/21/20,China,0
2/22/20,China,205
2/23/20,China,2
2/24/20,China,150
2/25/20,China,70
2/26/20,China,52
2/27/20,China,29
2/28/20,China,44
2/29/20,China,47
3/1/20,China,35
3/2/20,China,42
3/3/20,China,33
3/4/20,China,36
3/5/20,China,32
3/6/20,China,29
3/7/20,China,28
3/8/20,China,28
3/9/20,China,23
3/10/20,China,16
3/11/20,China,22
3/12/20,China,11
3/13/20,China,8
3/14/20,China,13
3/15/20,China,10
3/16/20,China,14
3/17/20,China,13
3/18/20,China,11
3/19/20,China,8
3/20/20,China,4
3/21/20,China,6
3/22/20,China,15
3/23/20,China,0
3/24/20,China,7
3/25/20,China,4
3/26/20,China,6
3/27/20,China,5
3/28/20,China,3
3/29/20,China,5
3/30/20,China,4
3/31/20,China,1
4/1/20,China,7
4/2/20,China,6
4/3/20,China,4
4/4/20,China,4
4/5/20,China,3
4/6/20,China,2
4/7/20,China,0
4/8/20,China,2
4/9/20,China,2
4/10/20,China,1
4/11/20,China,3
4/12/20,China,0
4/13/20,China,2
4/14/20,China,0
4/15/20,China,1
4/16/20,China,0
4/17/20,China,1290
4/18/20,China,0
4/19/20,China,0
4/20/20,China,0
4/21/20,China,0
4/22/20,China,0
4/23/20,China,0
4/24/20,China,0
4/25/20,China,0
4/26/20,China,1
4/27/20,China,0
4/28/20,China,0
4/29/20,China,0
4/30/20,China,0
5/1/20,China,0
5/2/20,China,0
5/3/20,China,0
5/4/20,China,0
5/5/20,China,0
5/6/20,China,0
5/7/20,China,0
5/8/20,China,0
5/9/20,China,0
5/10/20,China,0
5/11/20,China,0
5/12/20,China,0
5/13/20,China,0
5/14/20,China,0
5/15/20,China,0
5/16/20,China,1
5/17/20,China,0
5/18/20,China,0
5/19/20,China,0
5/20/20,China,0
5/21/20,China,0
5/22/20,China,0
5/23/20,China,0
5/24/20,China,0
5/25/20,China,0
5/26/20,China,0
5/27/20,China,0
5/28/20,China,0
5/29/20,China,0
5/30/20,China,0
5/31/20,China,0
6/1/20,China,0
6/2/20,China,0
6/3/20,China,0
6/4/20,China,0
6/5/20,China,0
6/6/20,China,0
6/7/20,China,0
6/8/20,China,0
6/9/20,China,0
6/10/20,China,0
6/11/20,China,0
6/12/20,China,0
6/13/20,China,0
6/14/20,China,0
6/15/20,China,0
6/16/20,China,0
6/17/20,China,0
6/18/20,China,0
6/19/20,China,0
6/20/20,China,1
6/21/20,China,0
6/22/20,China,0
6/23/20,China,1
6/24/20,China,0
6/25/20,China,1
6/26/20,China,0
6/27/20,China,0
6/28/20,China,0
6/29/20,China,0
6/30/20,China,0
7/1/20,China,0
7/2/20,China,0
7/3/20,China,0
7/4/20,China,0
7/5/20,China,0
7/6/20,China,0
7/7/20,China,0
7/8/20,China,0
7/9/20,China,0
7/10/20,China,0
7/11/20,China,0
7/12/20,China,0
7/13/20,China,0
7/14/20,China,1
7/15/20,China,2
7/16/20,China,0
7/17/20,China,1
7/18/20,China,1
7/19/20,China,0
7/20/20,China,0
7/21/20,China,2
7/22/20,China,0
7/23/20,China,1
7/24/20,China,1
7/25/20,China,2
7/26/20,China,0
7/27/20,China,4
7/28/20,China,1
7/29/20,China,1
7/30/20,China,1
7/31/20,China,2
8/1/20,China,6
8/2/20,China,2
8/3/20,China,3
8/4/20,China,4
8/5/20,China,1
8/6/20,China,3
8/7/20,China,1
8/8/20,China,0
8/9/20,China,5
8/10/20,China,3
8/11/20,China,4
8/12/20,China,4
8/13/20,China,3
8/14/20,China,1
8/15/20,China,2
8/16/20,China,0
8/17/20,China,0
8/18/20,China,2
8/19/20,China,1
8/20/20,China,3
8/21/20,China,0
8/22/20,China,2
8/23/20,China,0
8/24/20,China,0
8/25/20,China,1
8/26/20,China,1
8/27/20,China,2
8/28/20,China,3
8/29/20,China,3
8/30/20,China,1
8/31/20,China,1
9/1/20,China,1
9/2/20,China,3
9/3/20,China,1
9/4/20,China,0
9/5/20,China,0
9/6/20,China,2
9/7/20,China,2
9/8/20,China,1
9/9/20,China,0
9/10/20,China,0
9/11/20,China,0
9/12/20,China,1
9/13/20,China,0
9/14/20,China,1
9/15/20,China,1
9/16/20,China,0
9/17/20,China,0
9/18/20,China,1
9/19/20,China,0
9/20/20,China,0
9/21/20,China,0
9/22/20,China,0
9/23/20,China,1
9/24/20,China,0
9/25/20,China,1
9/26/20,China,0
9/27/20,China,0
9/28/20,China,0
9/29/20,China,0
9/30/20,China,0
10/1/20,China,0
10/2/20,China,0
10/3/20,China,0
10/4/20,China,0
10/5/20,China,0
10/6/20,China,0
10/7/20,China,0
10/8/20,China,0
10/9/20,China,0
10/10/20,China,0
10/11/20,China,0
10/12/20,China,0
10/13/20,China,0
10/14/20,China,0
10/15/20,China,0
10/16/20,China,0
10/17/20,China,0
10/18/20,China,0
10/19/20,China,0
10/20/20,China,0
10/21/20,China,0
10/22/20,China,0
10/23/20,China,0
10/24/20,China,0
10/25/20,China,0
10/26/20,China,0
10/27/20,China,0
10/28/20,China,0
10/29/20,China,0
10/30/20,China,0
10/31/20,China,0
11/1/20,China,0
11/2/20,China,0
11/3/20,China,0
11/4/20,China,1
11/5/20,China,1
11/6/20,China,0
11/7/20,China,0
11/8/20,China,0
11/9/20,China,0
11/10/20,China,1
11/11/20,China,0
11/12/20,China,0
11/13/20,China,0
11/14/20,China,0
11/15/20,China,0
11/16/20,China,0
11/17/20,China,0
11/18/20,China,0
11/19/20,China,0
11/20/20,China,0
11/21/20,China,0
11/22/20,China,0
11/23/20,China,0
11/24/20,China,0
11/25/20,China,0
11/26/20,China,0
11/27/20,China,0
11/28/20,China,1
11/29/20,China,0
11/30/20,China,0
12/1/20,China,0
12/2/20,China,1
12/3/20,China,1
12/4/20,China,1
12/5/20,China,0
12/6/20,China,0
12/7/20,China,0
12/8/20,China,0
12/9/20,China,2
12/10/20,China,0
12/11/20,China,0
12/12/20,China,1
12/13/20,China,2
12/14/20,China,3
12/15/20,China,3
12/16/20,China,0
12/17/20,China,2
12/18/20,China,4
12/19/20,China,0
12/20/20,China,1
12/21/20,China,1
12/22/20,China,1
12/23/20,China,1
12/24/20,China,2
12/25/20,China,1
12/26/20,China,0
12/27/20,China,1
12/28/20,China,4
12/29/20,China,2
12/30/20,China,4
12/31/20,China,1
1/1/21,China,0
1/2/21,China,2
1/3/21,China,0
1/4/21,China,3
1/5/21,China,0
1/6/21,China,1
1/7/21,China,0
1/8/21,China,1
1/9/21,China,2
1/10/21,China,1
1/11/21,China,1
1/12/21,China,1
1/13/21,China,2
1/14/21,China,0
1/15/21,China,0
1/16/21,China,1
1/17/21,China,0
1/18/21,China,1
1/19/21,China,2
1/20/21,China,1
1/21/21,China,2
1/22/21,China,0
1/23/21,China,0
1/24/21,China,1
1/25/21,China,3
1/26/21,China,2
1/27/21,China,2
1/28/21,China,2
1/29/21,China,1
1/30/21,China,1
1/31/21,China,2
2/1/21,China,1
2/2/21,China,2
2/3/21,China,1
2/4/21,China,1
2/5/21,China,0
2/6/21,China,0
2/7/21,China,0
2/8/21,China,0
2/9/21,China,2
2/10/21,China,1
2/11/21,China,2
2/12/21,China,1
2/13/21,China,1
2/14/21,China,0
2/15/21,China,0
2/16/21,China,2
2/17/21,China,2
2/18/21,China,0
2/19/21,China,0
2/20/21,China,0
2/21/21,China,0
2/22/21,China,0
2/23/21,China,0
2/24/21,China,1
2/25/21,China,0
2/26/21,China,0
2/27/21,China,0
2/28/21,China,1
3/1/21,China,1
3/2/21,China,0
3/3/21,China,0
3/4/21,China,1
3/5/21,China,0
3/6/21,China,1
3/7/21,China,0
3/8/21,China,0
3/9/21,China,0
3/10/21,China,1
3/11/21,China,0
3/12/21,China,0
3/13/21,China,0
3/14/21,China,0
3/15/21,China,0
3/16/21,China,0
3/17/21,China,0
3/18/21,China,0
3/19/21,China,0
3/20/21,China,0
3/21/21,China,0
3/22/21,China,0
3/23/21,China,1
3/24/21,China,0
3/25/21,China,0
3/26/21,China,1
3/27/21,China,0
3/28/21,China,0
3/29/21,China,0
3/30/21,China,0
3/31/21,China,0
4/1/21,China,0
4/2/21,China,0
4/3/21,China,0
4/4/21,China,0
4/5/21,China,0
4/6/21,China,0
4/7/21,China,0
4/8/21,China,0
4/9/21,China,2
4/10/21,China,0
4/11/21,China,0
4/12/21,China,0
4/13/21,China,1
4/14/21,China,1
4/15/21,China,0
4/16/21,China,0
4/17/21,China,0
4/18/21,China,0
4/19/21,China,0
4/20/21,China,0
4/21/21,China,0
4/22/21,China,0
4/23/21,China,0
4/24/21,China,0
4/25/21,China,0
4/26/21,China,0
4/27/21,China,0
4/28/21,China,0
4/29/21,China,0
4/30/21,China,0
5/1/21,China,1
5/2/21,China,0
5/3/21,China,0
5/4/21,China,0
5/5/21,China,0
5/6/21,China,0
5/7/21,China,0
5/8/21,China,0
5/9/21,China,0
5/10/21,China,0
5/11/21,China,0
5/12/21,China,0
5/13/21,China,0
5/14/21,China,0
5/15/21,China,0
5/16/21,China,0
5/17/21,China,0
5/18/21,China,0
5/19/21,China,0
5/20/21,China,0
5/21/21,China,0
5/22/21,China,0
5/23/21,China,0
5/24/21,China,0
5/25/21,China,0
5/26/21,China,0
5/27/21,China,0
5/28/21,China,0
5/29/21,China,0
5/30/21,China,0
5/31/21,China,0
6/1/21,China,0
6/2/21,China,0
6/3/21,China,0
6/4/21,China,0
6/5/21,China,0
6/6/21,China,0
6/7/21,China,0
6/8/21,China,0
6/9/21,China,0
6/10/21,China,0
6/11/21,China,0
6/12/21,China,0
6/13/21,China,0
6/14/21,China,0
6/15/21,China,0
6/16/21,China,0
6/17/21,China,0
6/18/21,China,0
6/19/21,China,0
6/20/21,China,0
6/21/21,China,0
6/22/21,China,0
6/23/21,China,0
6/24/21,China,0
6/25/21,China,1
6/26/21,China,-1
6/27/21,China,0
6/28/21,China,0
6/29/21,China,1
6/30/21,China,0
7/1/21,China,0
7/2/21,China,0
7/3/21,China,0
7/4/21,China,0
7/5/21,China,1
7/6/21,China,0
7/7/21,China,0
7/8/21,China,0
7/9/21,China,0
7/10/21,China,0
7/11/21,China,0
7/12/21,China,0
7/13/21,China,0
7/14/21,China,0
7/15/21,China,0
7/16/21,China,0
7/17/21,China,0
7/18/21,China,0
7/19/21,China,0
7/20/21,China,0
7/21/21,China,0
7/22/21,China,0
7/23/21,China,3
7/24/21,China,-3
7/25/21,China,0
7/26/21,China,0
7/27/21,China,0
7/28/21,China,0
7/29/21,China,0
7/30/21,China,0
7/31/21,China,0
8/1/21,China,0
8/2/21,China,0
8/3/21,China,0
8/4/21,China,0
8/5/21,China,0
8/6/21,China,0
8/7/21,China,0
8/8/21,China,0
8/9/21,China,0
8/10/21,China,0
8/11/21,China,0
8/12/21,China,0
8/13/21,China,0
8/14/21,China,0
8/15/21,China,0
8/16/21,China,0
8/17/21,China,0
8/18/21,China,0
8/19/21,China,0
8/20/21,China,0
8/21/21,China,0
8/22/21,China,0
8/23/21,China,0
8/24/21,China,0
8/25/21,China,0
8/26/21,China,0
8/27/21,China,0
8/28/21,China,0
8/29/21,China,0
8/30/21,China,0
8/31/21,China,0
9/1/21,China,0
9/2/21,China,0
9/3/21,China,0
9/4/21,China,0
9/5/21,China,0
9/6/21,China,0
9/7/21,China,0
9/8/21,China,0
9/9/21,China,0
9/10/21,China,0
9/11/21,China,0
9/12/21,China,0
9/13/21,China,1
9/14/21,China,0
9/15/21,China,0
9/16/21,China,0
9/17/21,China,0
9/18/21,China,0
9/19/21,China,0
9/20/21,China,0
9/21/21,China,0
9/22/21,China,0
9/23/21,China,0
9/24/21,China,0
9/25/21,China,0
9/26/21,China,0
9/27/21,China,0
9/28/21,China,0
9/29/21,China,0
9/30/21,China,0
10/1/21,China,0
10/2/21,China,0
10/3/21,China,0
10/4/21,China,0
10/5/21,China,0
10/6/21,China,0
10/7/21,China,0
10/8/21,China,0
10/9/21,China,0
10/10/21,China,0
10/11/21,China,0
10/12/21,China,0
1/22/20,Indonesia,0
1/23/20,Indonesia,0
1/24/20,Indonesia,0
1/25/20,Indonesia,0
1/26/20,Indonesia,0
1/27/20,Indonesia,0
1/28/20,Indonesia,0
1/29/20,Indonesia,0
