date,country,daily case
10/14/20,Australia,20
10/15/20,Australia,14
10/16/20,Australia,7
10/17/20,Australia,12
10/18/20,Australia,9
10/19/20,Australia,6
10/20/20,Australia,38
10/21/20,Australia,15
10/22/20,Australia,18
10/23/20,Australia,19
10/24/20,Australia,18
10/25/20,Australia,12
10/26/20,Australia,14
10/27/20,Australia,14
10/28/20,Australia,12
10/29/20,Australia,14
10/30/20,Australia,6
10/31/20,Australia,10
11/1/20,Australia,6
11/2/20,Australia,9
11/3/20,Australia,12
11/4/20,Australia,8
11/5/20,Australia,14
11/6/20,Australia,8
11/7/20,Australia,6
11/8/20,Australia,7
11/9/20,Australia,4
11/10/20,Australia,2
11/11/20,Australia,4
11/12/20,Australia,1
11/13/20,Australia,6
11/14/20,Australia,29
11/15/20,Australia,38
11/16/20,Australia,9
11/17/20,Australia,19
11/18/20,Australia,8
11/19/20,Australia,7
11/20/20,Australia,14
11/21/20,Australia,15
11/22/20,Australia,13
11/23/20,Australia,9
11/24/20,Australia,10
11/25/20,Australia,12
11/26/20,Australia,8
11/27/20,Australia,13
11/28/20,Australia,6
11/29/20,Australia,10
11/30/20,Australia,10
12/1/20,Australia,11
12/2/20,Australia,16
12/3/20,Australia,10
12/4/20,Australia,7
12/5/20,Australia,9
12/6/20,Australia,7
12/7/20,Australia,15
12/8/20,Australia,6
12/9/20,Australia,7
12/10/20,Australia,11
12/11/20,Australia,14
12/12/20,Australia,5
12/13/20,Australia,7
12/14/20,Australia,11
12/15/20,Australia,12
12/16/20,Australia,12
12/17/20,Australia,21
12/18/20,Australia,33
12/19/20,Australia,42
12/20/20,Australia,30
12/21/20,Australia,21
12/22/20,Australia,18
12/23/20,Australia,25
12/24/20,Australia,12
12/25/20,Australia,23
12/26/20,Australia,11
12/27/20,Australia,29
12/28/20,Australia,12
12/29/20,Australia,32
12/30/20,Australia,24
12/31/20,Australia,20
1/1/21,Australia,35
1/2/21,Australia,24
1/3/21,Australia,20
1/4/21,Australia,13
1/5/21,Australia,19
1/6/21,Australia,10
1/7/21,Australia,25
1/8/21,Australia,11
1/9/21,Australia,13
1/10/21,Australia,19
1/11/21,Australia,20
1/12/21,Australia,16
1/13/21,Australia,10
1/14/21,Australia,9
1/15/21,Australia,20
1/16/21,Australia,19
1/17/21,Australia,13
1/18/21,Australia,10
1/19/21,Australia,9
1/20/21,Australia,9
1/21/21,Australia,6
1/22/21,Australia,5
1/23/21,Australia,6
1/24/21,Australia,11
1/25/21,Australia,3
1/26/21,Australia,6
1/27/21,Australia,8
1/28/21,Australia,5
1/29/21,Australia,7
1/30/21,Australia,5
1/31/21,Australia,7
2/1/21,Australia,5
2/2/21,Australia,6
2/3/21,Australia,9
2/4/21,Australia,4
2/5/21,Australia,6
2/6/21,Australia,3
2/7/21,Australia,6
2/8/21,Australia,3
2/9/21,Australia,11
2/10/21,Australia,8
2/11/21,Australia,8
2/12/21,Australia,5
2/13/21,Australia,6
2/14/21,Australia,2
2/15/21,Australia,5
2/16/21,Australia,6
2/17/21,Australia,1
2/18/21,Australia,6
2/19/21,Australia,2
2/20/21,Australia,6
2/21/21,Australia,4
2/22/21,Australia,7
2/23/21,Australia,2
2/24/21,Australia,8
2/25/21,Australia,10
2/26/21,Australia,8
2/27/21,Australia,5
2/28/21,Australia,8
3/1/21,Australia,8
3/2/21,Australia,10
3/3/21,Australia,11
3/4/21,Australia,14
3/5/21,Australia,8
3/6/21,Australia,5
3/7/21,Australia,12
3/8/21,Australia,15
3/9/21,Australia,13
3/10/21,Australia,16
3/11/21,Australia,12
3/12/21,Australia,10
3/13/21,Australia,5
3/14/21,Australia,13
3/15/21,Australia,7
3/16/21,Australia,17
3/17/21,Australia,12
3/18/21,Australia,17
3/19/21,Australia,9
3/20/21,Australia,4
3/21/21,Australia,10
3/22/21,Australia,5
3/23/21,Australia,10
3/24/21,Australia,9
3/25/21,Australia,9
3/26/21,Australia,13
3/27/21,Australia,7
3/28/21,Australia,17
3/29/21,Australia,20
3/30/21,Australia,8
3/31/21,Australia,18
4/1/21,Australia,11
4/2/21,Australia,8
4/3/21,Australia,7
4/4/21,Australia,9
4/5/21,Australia,8
4/6/21,Australia,14
4/7/21,Australia,6
4/8/21,Australia,5
4/9/21,Australia,6
4/10/21,Australia,9
4/11/21,Australia,14
4/12/21,Australia,10
4/13/21,Australia,21
4/14/21,Australia,19
4/15/21,Australia,15
4/16/21,Australia,15
4/17/21,Australia,20
4/18/21,Australia,14
4/19/21,Australia,23
4/20/21,Australia,20
4/21/21,Australia,18
4/22/21,Australia,44
4/23/21,Australia,15
4/24/21,Australia,10
4/25/21,Australia,17
4/26/21,Australia,37
4/27/21,Australia,33
4/28/21,Australia,23
4/29/21,Australia,25
4/30/21,Australia,13
5/1/21,Australia,13
5/2/21,Australia,14
5/3/21,Australia,12
5/4/21,Australia,15
5/5/21,Australia,19
5/6/21,Australia,9
5/7/21,Australia,13
5/8/21,Australia,16
5/9/21,Australia,9
5/10/21,Australia,7
5/11/21,Australia,8
5/12/21,Australia,9
5/13/21,Australia,2
5/14/21,Australia,7
5/15/21,Australia,11
5/16/21,Australia,3
5/17/21,Australia,5
5/18/21,Australia,9
5/19/21,Australia,3
5/20/21,Australia,4
5/21/21,Australia,4
5/22/21,Australia,4
5/23/21,Australia,12
5/24/21,Australia,10
5/25/21,Australia,17
5/26/21,Australia,17
5/27/21,Australia,11
5/28/21,Australia,9
5/29/21,Australia,13
5/30/21,Australia,9
5/31/21,Australia,13
6/1/21,Australia,6
6/2/21,Australia,13
6/3/21,Australia,4
6/4/21,Australia,16
6/5/21,Australia,16
6/6/21,Australia,18
6/7/21,Australia,14
6/8/21,Australia,5
6/9/21,Australia,15
6/10/21,Australia,3
6/11/21,Australia,6
6/12/21,Australia,14
6/13/21,Australia,14
6/14/21,Australia,11
6/15/21,Australia,13
6/16/21,Australia,15
6/17/21,Australia,8
6/18/21,Australia,13
6/19/21,Australia,9
6/20/21,Australia,24
6/21/21,Australia,11
6/22/21,Australia,14
6/23/21,Australia,24
6/24/21,Australia,20
6/25/21,Australia,33
6/26/21,Australia,42
6/27/21,Australia,29
6/28/21,Australia,32
6/29/21,Australia,42
6/30/21,Australia,41
7/1/21,Australia,41
7/2/21,Australia,50
7/3/21,Australia,19
7/4/21,Australia,51
7/5/21,Australia,27
7/6/21,Australia,30
7/7/21,Australia,42
7/8/21,Australia,48
7/9/21,Australia,64
7/10/21,Australia,85
7/11/21,Australia,121
7/12/21,Australia,102
7/13/21,Australia,106
7/14/21,Australia,84
7/15/21,Australia,113
7/16/21,Australia,145
7/17/21,Australia,128
7/18/21,Australia,117
7/19/21,Australia,104
7/20/21,Australia,146
7/21/21,Australia,160
7/22/21,Australia,156
7/23/21,Australia,171
7/24/21,Australia,165
7/25/21,Australia,164
7/26/21,Australia,184
7/27/21,Australia,207
7/28/21,Australia,253
7/29/21,Australia,183
7/30/21,Australia,221
7/31/21,Australia,253
8/1/21,Australia,229
8/2/21,Australia,224
8/3/21,Australia,253
8/4/21,Australia,302
8/5/21,Australia,307
8/6/21,Australia,353
8/7/21,Australia,277
8/8/21,Australia,302
8/9/21,Australia,380
8/10/21,Australia,367
8/11/21,Australia,372
8/12/21,Australia,416
8/13/21,Australia,493
8/14/21,Australia,439
8/15/21,Australia,518
8/16/21,Australia,482
8/17/21,Australia,677
8/18/21,Australia,747
8/19/21,Australia,707
8/20/21,Australia,891
8/21/21,Australia,907
8/22/21,Australia,894
8/23/21,Australia,834
8/24/21,Australia,971
8/25/21,Australia,1115
8/26/21,Australia,976
8/27/21,Australia,1119
8/28/21,Australia,1321
8/29/21,Australia,1355
8/30/21,Australia,1257
8/31/21,Australia,1225
9/1/21,Australia,1467
9/2/21,Australia,1648
9/3/21,Australia,1741
9/4/21,Australia,1670
9/5/21,Australia,1536
9/6/21,Australia,1466
9/7/21,Australia,1696
9/8/21,Australia,1725
9/9/21,Australia,1870
9/10/21,Australia,2075
9/11/21,Australia,1616
9/12/21,Australia,1720
9/13/21,Australia,1578
9/14/21,Australia,1643
9/15/21,Australia,1856
9/16/21,Australia,1800
9/17/21,Australia,1856
9/18/21,Australia,1572
9/19/21,Australia,1500
9/20/21,Australia,1582
9/21/21,Australia,1659
9/22/21,Australia,1809
9/23/21,Australia,1764
9/24/21,Australia,1865
9/25/21,Australia,1752
9/26/21,Australia,1472
9/27/21,Australia,1880
9/28/21,Australia,1812
9/29/21,Australia,2400
9/30/21,Australia,2058
10/1/21,Australia,2335
10/2/21,Australia,1872
10/3/21,Australia,2023
10/4/21,Australia,2389
10/5/21,Australia,2026
10/6/21,Australia,2216
10/7/21,Australia,2524
10/8/21,Australia,2515
10/9/21,Australia,2390
10/10/21,Australia,2096
10/11/21,Australia,1848
10/12/21,Australia,2029
1/22/20,Canada,0
1/23/20,Canada,0
1/24/20,Canada,0
1/25/20,Canada,0
1/26/20,Canada,1
1/27/20,Canada,0
1/28/20,Canada,1
1/29/20,Canada,0
1/30/20,Canada,0
1/31/20,Canada,2
2/1/20,Canada,0
2/2/20,Canada,0
2/3/20,Canada,0
2/4/20,Canada,0
2/5/20,Canada,1
2/6/20,Canada,0
2/7/20,Canada,2
2/8/20,Canada,0
2/9/20,Canada,0
2/10/20,Canada,0
2/11/20,Canada,0
2/12/20,Canada,0
2/13/20,Canada,0
2/14/20,Canada,0
2/15/20,Canada,0
2/16/20,Canada,0
2/17/20,Canada,1
2/18/20,Canada,0
2/19/20,Canada,0
2/20/20,Canada,0
2/21/20,Canada,1
2/22/20,Canada,0
2/23/20,Canada,0
2/24/20,Canada,1
2/25/20,Canada,2
2/26/20,Canada,0
2/27/20,Canada,2
2/28/20,Canada,1
2/29/20,Canada,6
3/1/20,Canada,5
3/2/20,Canada,6
3/3/20,Canada,5
3/4/20,Canada,5
3/5/20,Canada,4
3/6/20,Canada,14
3/7/20,Canada,4
3/8/20,Canada,10
3/9/20,Canada,14
3/10/20,Canada,4
3/11/20,Canada,35
3/12/20,Canada,14
3/13/20,Canada,72
3/14/20,Canada,23
3/15/20,Canada,60
3/16/20,Canada,154
3/17/20,Canada,82
3/18/20,Canada,200
3/19/20,Canada,189
3/20/20,Canada,254
3/21/20,Canada,478
3/22/20,Canada,392
3/23/20,Canada,555
3/24/20,Canada,585
3/25/20,Canada,498
3/26/20,Canada,867
3/27/20,Canada,699
3/28/20,Canada,836
3/29/20,Canada,930
3/30/20,Canada,1106
3/31/20,Canada,1125
4/1/20,Canada,1281
4/2/20,Canada,1692
4/3/20,Canada,1340
4/4/20,Canada,1347
4/5/20,Canada,1569
4/6/20,Canada,1046
4/7/20,Canada,1337
4/8/20,Canada,1264
4/9/20,Canada,1380
4/10/20,Canada,1275
4/11/20,Canada,1307
4/12/20,Canada,1219
4/13/20,Canada,1634
4/14/20,Canada,1626
4/15/20,Canada,1660
4/16/20,Canada,2567
4/17/20,Canada,2086
4/18/20,Canada,1482
4/19/20,Canada,1668
4/20/20,Canada,1565
4/21/20,Canada,1743
4/22/20,Canada,2307
4/23/20,Canada,1669
4/24/20,Canada,1697
4/25/20,Canada,1563
4/26/20,Canada,1432
4/27/20,Canada,1619
4/28/20,Canada,1676
4/29/20,Canada,1764
4/30/20,Canada,1655
5/1/20,Canada,1833
5/2/20,Canada,1474
5/3/20,Canada,1160
5/4/20,Canada,1560
5/5/20,Canada,1357
5/6/20,Canada,1603
5/7/20,Canada,1443
5/8/20,Canada,1339
5/9/20,Canada,1160
5/10/20,Canada,1091
5/11/20,Canada,1150
5/12/20,Canada,1197
5/13/20,Canada,1224
5/14/20,Canada,1121
5/15/20,Canada,1263
5/16/20,Canada,1180
5/17/20,Canada,1121
5/18/20,Canada,1041
5/19/20,Canada,1150
5/20/20,Canada,1305
5/21/20,Canada,1162
5/22/20,Canada,1164
5/23/20,Canada,1009
5/24/20,Canada,926
5/25/20,Canada,948
5/26/20,Canada,805
5/27/20,Canada,878
5/28/20,Canada,839
5/29/20,Canada,835
5/30/20,Canada,751
5/31/20,Canada,683
6/1/20,Canada,842
6/2/20,Canada,661
6/3/20,Canada,667
6/4/20,Canada,625
6/5/20,Canada,666
6/6/20,Canada,548
6/7/20,Canada,667
6/8/20,Canada,521
6/9/20,Canada,489
6/10/20,Canada,495
6/11/20,Canada,449
6/12/20,Canada,430
6/13/20,Canada,411
6/14/20,Canada,327
6/15/20,Canada,369
6/16/20,Canada,366
6/17/20,Canada,408
6/18/20,Canada,401
6/19/20,Canada,403
6/20/20,Canada,419
6/21/20,Canada,305
6/22/20,Canada,356
6/23/20,Canada,394
6/24/20,Canada,356
6/25/20,Canada,324
6/26/20,Canada,251
6/27/20,Canada,337
6/28/20,Canada,373
6/29/20,Canada,384
6/30/20,Canada,297
7/1/20,Canada,198
7/2/20,Canada,356
7/3/20,Canada,320
7/4/20,Canada,213
7/5/20,Canada,187
7/6/20,Canada,415
7/7/20,Canada,255
7/8/20,Canada,329
7/9/20,Canada,315
7/10/20,Canada,340
7/11/20,Canada,176
7/12/20,Canada,159
7/13/20,Canada,673
7/14/20,Canada,387
7/15/20,Canada,361
7/16/20,Canada,447
7/17/20,Canada,470
7/18/20,Canada,346
7/19/20,Canada,255
7/20/20,Canada,751
7/21/20,Canada,505
7/22/20,Canada,349
7/23/20,Canada,658
7/24/20,Canada,714
7/25/20,Canada,346
7/26/20,Canada,297
7/27/20,Canada,626
7/28/20,Canada,361
7/29/20,Canada,487
7/30/20,Canada,415
7/31/20,Canada,557
8/1/20,Canada,226
8/2/20,Canada,196
8/3/20,Canada,226
8/4/20,Canada,713
8/5/20,Canada,344
8/6/20,Canada,313
8/7/20,Canada,536
8/8/20,Canada,233
8/9/20,Canada,212
8/10/20,Canada,630
8/11/20,Canada,345
8/12/20,Canada,309
8/13/20,Canada,471
8/14/20,Canada,413
8/15/20,Canada,206
8/16/20,Canada,156
8/17/20,Canada,209
8/18/20,Canada,901
8/19/20,Canada,333
8/20/20,Canada,236
8/21/20,Canada,707
8/22/20,Canada,209
8/23/20,Canada,259
8/24/20,Canada,753
8/25/20,Canada,345
8/26/20,Canada,461
8/27/20,Canada,467
8/28/20,Canada,547
8/29/20,Canada,329
8/30/20,Canada,247
8/31/20,Canada,1020
9/1/20,Canada,536
9/2/20,Canada,571
9/3/20,Canada,626
9/4/20,Canada,615
9/5/20,Canada,390
9/6/20,Canada,368
9/7/20,Canada,380
9/8/20,Canada,1491
9/9/20,Canada,450
9/10/20,Canada,893
9/11/20,Canada,807
9/12/20,Canada,539
9/13/20,Canada,513
9/14/20,Canada,1459
9/15/20,Canada,831
9/16/20,Canada,952
9/17/20,Canada,879
9/18/20,Canada,1364
9/19/20,Canada,624
9/20/20,Canada,1184
9/21/20,Canada,1725
9/22/20,Canada,1305
9/23/20,Canada,1301
9/24/20,Canada,1292
9/25/20,Canada,1736
9/26/20,Canada,1268
9/27/20,Canada,1612
9/28/20,Canada,1950
9/29/20,Canada,1931
9/30/20,Canada,2295
10/1/20,Canada,1847
10/2/20,Canada,2241
10/3/20,Canada,1354
10/4/20,Canada,2111
10/5/20,Canada,2537
10/6/20,Canada,2009
10/7/20,Canada,1700
10/8/20,Canada,2369
10/9/20,Canada,2933
10/10/20,Canada,1955
10/11/20,Canada,1774
10/12/20,Canada,928
10/13/20,Canada,4245
10/14/20,Canada,2469
10/15/20,Canada,2476
10/16/20,Canada,2645
10/17/20,Canada,1194
10/18/20,Canada,2338
10/19/20,Canada,3115
10/20/20,Canada,2489
10/21/20,Canada,2596
10/22/20,Canada,2480
10/23/20,Canada,3033
10/24/20,Canada,1361
10/25/20,Canada,2769
10/26/20,Canada,4280
10/27/20,Canada,2737
10/28/20,Canada,2725
10/29/20,Canada,3051
10/30/20,Canada,3401
10/31/20,Canada,2293
11/1/20,Canada,2395
11/2/20,Canada,3388
11/3/20,Canada,4931
11/4/20,Canada,2917
11/5/20,Canada,2917
11/6/20,Canada,5456
11/7/20,Canada,4350
11/8/20,Canada,3850
11/9/20,Canada,4909
11/10/20,Canada,4588
11/11/20,Canada,3996
11/12/20,Canada,5441
11/13/20,Canada,4844
11/14/20,Canada,4221
11/15/20,Canada,4203
11/16/20,Canada,5840
11/17/20,Canada,4606
11/18/20,Canada,4543
11/19/20,Canada,4895
11/20/20,Canada,4875
11/21/20,Canada,4884
11/22/20,Canada,4798
11/23/20,Canada,6708
11/24/20,Canada,5389
11/25/20,Canada,5241
11/26/20,Canada,5550
11/27/20,Canada,5958
11/28/20,Canada,5626
11/29/20,Canada,5370
11/30/20,Canada,7828
12/1/20,Canada,5835
12/2/20,Canada,6485
12/3/20,Canada,6297
12/4/20,Canada,6840
12/5/20,Canada,5966
12/6/20,Canada,6150
12/7/20,Canada,7773
12/8/20,Canada,6266
12/9/20,Canada,6417
12/10/20,Canada,6604
12/11/20,Canada,6913
12/12/20,Canada,6078
12/13/20,Canada,5684
12/14/20,Canada,8645
12/15/20,Canada,6291
12/16/20,Canada,6733
12/17/20,Canada,7467
12/18/20,Canada,7045
12/19/20,Canada,6477
12/20/20,Canada,5826
12/21/20,Canada,7576
12/22/20,Canada,6231
12/23/20,Canada,6897
12/24/20,Canada,6732
12/25/20,Canada,4047
12/26/20,Canada,5201
12/27/20,Canada,5465
12/28/20,Canada,6507
12/29/20,Canada,8667
12/30/20,Canada,8750
12/31/20,Canada,6856
1/1/21,Canada,3720
1/2/21,Canada,6942
1/3/21,Canada,10643
1/4/21,Canada,10067
1/5/21,Canada,7328
1/6/21,Canada,8308
1/7/21,Canada,8541
1/8/21,Canada,9395
1/9/21,Canada,7274
1/10/21,Canada,6728
1/11/21,Canada,8249
1/12/21,Canada,6391
1/13/21,Canada,7082
1/14/21,Canada,7262
1/15/21,Canada,6844
1/16/21,Canada,6060
1/17/21,Canada,6053
1/18/21,Canada,6124
1/19/21,Canada,5159
1/20/21,Canada,5772
1/21/21,Canada,6283
1/22/21,Canada,5730
1/23/21,Canada,4739
1/24/21,Canada,4387
1/25/21,Canada,5632
1/26/21,Canada,4226
1/27/21,Canada,4265
1/28/21,Canada,4725
1/29/21,Canada,4813
1/30/21,Canada,3976
1/31/21,Canada,3588
2/1/21,Canada,4588
2/2/21,Canada,3062
2/3/21,Canada,3296
2/4/21,Canada,3969
2/5/21,Canada,4254
2/6/21,Canada,3106
2/7/21,Canada,2963
2/8/21,Canada,3727
2/9/21,Canada,2826
2/10/21,Canada,3441
2/11/21,Canada,3071
2/12/21,Canada,2716
2/13/21,Canada,3581
2/14/21,Canada,2017
2/15/21,Canada,1706
2/16/21,Canada,4397
2/17/21,Canada,2543
2/18/21,Canada,3395
2/19/21,Canada,3061
2/20/21,Canada,2606
2/21/21,Canada,2557
2/22/21,Canada,3284
2/23/21,Canada,3305
2/24/21,Canada,2994
2/25/21,Canada,3101
2/26/21,Canada,3227
2/27/21,Canada,2530
2/28/21,Canada,2185
3/1/21,Canada,3666
3/2/21,Canada,2838
3/3/21,Canada,2740
3/4/21,Canada,3132
3/5/21,Canada,2873
3/6/21,Canada,2763
3/7/21,Canada,2552
3/8/21,Canada,4082
3/9/21,Canada,3074
3/10/21,Canada,2985
3/11/21,Canada,3123
3/12/21,Canada,3574
3/13/21,Canada,2915
3/14/21,Canada,2644
3/15/21,Canada,3790
3/16/21,Canada,3017
3/17/21,Canada,3433
3/18/21,Canada,3673
3/19/21,Canada,4274
3/20/21,Canada,3323
3/21/21,Canada,3142
3/22/21,Canada,4859
3/23/21,Canada,3678
3/24/21,Canada,4196
3/25/21,Canada,5166
3/26/21,Canada,5084
3/27/21,Canada,4237
3/28/21,Canada,4090
3/29/21,Canada,6313
3/30/21,Canada,3886
3/31/21,Canada,9128
4/1/21,Canada,5756
4/2/21,Canada,3633
4/3/21,Canada,7096
4/4/21,Canada,3494
4/5/21,Canada,8289
4/6/21,Canada,10865
4/7/21,Canada,7760
4/8/21,Canada,8347
4/9/21,Canada,9266
4/10/21,Canada,7370
4/11/21,Canada,7672
4/12/21,Canada,10541
4/13/21,Canada,7466
4/14/21,Canada,8952
4/15/21,Canada,9778
4/16/21,Canada,9258
4/17/21,Canada,7080
4/18/21,Canada,7890
4/19/21,Canada,10316
4/20/21,Canada,7314
4/21/21,Canada,8219
4/22/21,Canada,8901
4/23/21,Canada,8464
4/24/21,Canada,7461
4/25/21,Canada,6803
4/26/21,Canada,8916
4/27/21,Canada,7029
4/28/21,Canada,8222
4/29/21,Canada,9263
4/30/21,Canada,8391
5/1/21,Canada,6364
5/2/21,Canada,5737
5/3/21,Canada,10985
5/4/21,Canada,6746
5/5/21,Canada,7779
5/6/21,Canada,8090
5/7/21,Canada,7728
5/8/21,Canada,5942
5/9/21,Canada,5444
5/10/21,Canada,8873
5/11/21,Canada,5548
5/12/21,Canada,6670
5/13/21,Canada,5893
5/14/21,Canada,6735
5/15/21,Canada,4390
5/16/21,Canada,4145
5/17/21,Canada,6450
5/18/21,Canada,3912
5/19/21,Canada,5030
5/20/21,Canada,4850
5/21/21,Canada,4334
5/22/21,Canada,3245
5/23/21,Canada,2828
5/24/21,Canada,1716
5/25/21,Canada,3753
5/26/21,Canada,2484
5/27/21,Canada,4698
5/28/21,Canada,3095
5/29/21,Canada,2159
5/30/21,Canada,1943
5/31/21,Canada,2943
6/1/21,Canada,1726
6/2/21,Canada,2192
6/3/21,Canada,2177
6/4/21,Canada,1989
6/5/21,Canada,1333
6/6/21,Canada,1349
6/7/21,Canada,1789
6/8/21,Canada,1121
